Date,Open,High,Low,Close,Adj Close,Volume
2023-11-24,66.44999694824219,66.9000015258789,66.1500015258789,66.88999938964844,65.23997497558594,15200
2023-11-27,66.76000213623047,67.22000122070312,66.5,66.93000030517578,65.27899169921875,56900
2023-11-28,66.79000091552734,67.31999969482422,66.37000274658203,67.05999755859375,65.4057846069336,27000
2023-11-29,67.75,68.13999938964844,67.04000091552734,67.08999633789062,65.4350357055664,67000
2023-11-30,67.12999725341797,67.66999816894531,66.8499984741211,67.63999938964844,65.97147369384766,42500
2023-12-01,67.76000213623047,69.3499984741211,67.7300033569336,69.3499984741211,67.63929748535156,56500
2023-12-04,69.0999984741211,69.68000030517578,68.93000030517578,69.68000030517578,67.96115112304688,314900
2023-12-05,69.5,69.5,68.81999969482422,69.25,67.54176330566406,74200
2023-12-06,69.43000030517578,69.69000244140625,68.73999786376953,68.76000213623047,67.06385040283203,39300
2023-12-07,68.6500015258789,69.19999694824219,68.4800033569336,69.04000091552734,67.33695220947266,69800
2023-12-08,68.73999786376953,69.27999877929688,68.55000305175781,69.2699966430664,67.561279296875,55200
2023-12-11,69.0199966430664,69.37000274658203,68.7699966430664,69.33999633789062,67.6295394897461,63900
2023-12-12,69.26000213623047,69.66999816894531,68.87000274658203,69.36000061035156,67.64905548095703,64400
2023-12-13,69.41999816894531,72.44000244140625,69.2699966430664,72.11000061035156,70.33121490478516,61000
2023-12-14,73.08999633789062,74.75,73.08999633789062,74.41000366210938,72.57447814941406,55000
2023-12-15,74.23999786376953,74.23999786376953,72.58999633789062,73.16000366210938,71.3553237915039,54600
2023-12-18,73.3499984741211,73.3499984741211,72.95999908447266,73.06999969482422,71.26752471923828,52000
2023-12-19,73.4000015258789,73.66999816894531,73.22000122070312,73.52999877929688,71.7161865234375,37000
2023-12-20,72.80999755859375,73.1500015258789,71.6500015258789,71.66000366210938,70.59121704101562,83600
2023-12-21,72.1500015258789,72.44999694824219,71.5999984741211,72.37999725341797,71.30047607421875,63900
2023-12-22,72.61000061035156,73.26000213623047,72.47000122070312,72.68000030517578,71.59600830078125,30400
2023-12-26,72.9800033569336,73.51000213623047,72.63999938964844,73.33000183105469,72.23631286621094,32500
